"","rated","turns","victory_status","winner","increment_code","white_id","white_rating","black_id","black_rating","opening_name","shortname","avgrating","starttime","gametype"
"25","FALSE",37,"resign","white","15+0","jojo58",1500,"shivangithegenius",978,"Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line","Sicilian Defense",1239,"15","Classical"
"26","FALSE",34,"resign","white","30+30","rajuppi",2449,"shivangithegenius",978,"English Opening: King's English Variation |  Reversed Sicilian","English Opening",1713.5,"30","Classical"
"27","FALSE",32,"draw","draw","20+25","white_queen_1990",1207,"shivangithegenius",978,"Sicilian Defense: Dragon Variation","Sicilian Defense",1092.5,"20","Classical"
"28","FALSE",71,"resign","black","5+5","milestretch",1241,"shivangithegenius",978,"Sicilian Defense: Closed Variation","Sicilian Defense",1109.5,"5","Blitz"
"29","FALSE",30,"resign","white","30+0","stephen789",1500,"shivangithegenius",978,"Sicilian Defense: Smith-Morra Gambit #2","Sicilian Defense",1239,"30","Classical"
"30","FALSE",66,"resign","white","40+40","rajuppi",2443,"shivangithegenius",978,"Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line","Sicilian Defense",1710.5,"40","Classical"
"31","FALSE",41,"resign","white","20+0","hmbrgr",1500,"shivangithegenius",978,"Sicilian Defense: Smith-Morra Gambit #2","Sicilian Defense",1239,"20","Classical"
"32","FALSE",49,"resign","white","15+0","jjwrchess",1500,"shivangithegenius",978,"Sicilian Defense: Bowdler Attack","Sicilian Defense",1239,"15","Classical"
"33","FALSE",3,"resign","black","15+0","shivangithegenius",978,"jjwrchess",1500,"Scandinavian Defense","Scandinavian Defense",1239,"15","Classical"
"34","FALSE",7,"resign","white","10+0","adnanraj",1343,"shivangithegenius",978,"Sicilian Defense: Bowdler Attack","Sicilian Defense",1160.5,"10","Classical"
"35","FALSE",35,"mate","white","40+40","rajuppi",2436,"shivangithegenius",978,"Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line","Sicilian Defense",1707,"40","Classical"
"36","FALSE",41,"mate","white","40+40","rajuppi",2436,"shivangithegenius",978,"Scandinavian Defense: Mieses-Kotroc Variation","Scandinavian Defense",1707,"40","Classical"
"37","FALSE",5,"resign","black","10+0","shivangithegenius",978,"balkarec",1500,"French Defense: Normal Variation","French Defense",1239,"10","Classical"
"38","FALSE",7,"resign","white","10+0","lucasimeon",1500,"shivangithegenius",978,"King's Pawn Game: Beyer Gambit","King's Pawn Game",1239,"10","Classical"
"39","FALSE",36,"resign","black","10+0","lucasimeon",1500,"shivangithegenius",978,"English Opening: King's English Variation","English Opening",1239,"10","Classical"
"40","TRUE",8,"resign","white","16+0","wing175",1521,"gerfsh",1162,"Zukertort Opening: Ross Gambit","Zukertort Opening",1341.5,"16","Classical"
"41","TRUE",3,"resign","white","6+10","caramiecho72",1407,"gerfsh",1500,"Sicilian Defense: Closed Variation","Sicilian Defense",1453.5,"6","Blitz"
"42","TRUE",44,"resign","black","10+0","wpc96",1457,"tbaruel",1294,"Scotch Game","Scotch Game",1375.5,"10","Classical"
"43","TRUE",37,"resign","black","8+10","iskendermyucel",1207,"oldpaths",1579,"French Defense: Knight Variation","French Defense",1393,"8","Blitz"
"44","TRUE",39,"resign","white","7+12","gio1212",1755,"oldpaths",1574,"Zukertort Opening: Kingside Fianchetto","Zukertort Opening",1664.5,"7","Blitz"
"45","TRUE",78,"resign","black","5+40","berejokserg",1500,"oldpaths",1554,"French Defense: Queen's Knight","French Defense",1527,"5","Blitz"
"46","TRUE",61,"resign","white","15+5","oldpaths",1544,"trump216bc",1461,"Queen's Pawn Game: Mason Attack","Queen's Pawn Game",1502.5,"15","Classical"
"47","TRUE",44,"resign","black","20+5","oldpaths",1563,"efer003",1335,"Queen's Pawn Game: Mason Attack","Queen's Pawn Game",1449,"20","Classical"
"48","TRUE",54,"mate","black","20+5","aminox",1207,"oldpaths",1588,"French Defense: Advance |  Steinitz Variation","French Defense",1397.5,"20","Classical"
"49","TRUE",54,"resign","black","15+5","oldpaths",1595,"sale0706",1547,"Queen's Pawn Game: Mason Attack","Queen's Pawn Game",1571,"15","Classical"
"50","TRUE",37,"resign","white","15+5","redar1",1855,"oldpaths",1599,"French Defense: Exchange Variation","French Defense",1727,"15","Classical"
"51","TRUE",131,"resign","white","30+0","oldpaths",1571,"tb-123",1728,"Queen's Pawn Game: London System","Queen's Pawn Game",1649.5,"30","Classical"
"52","TRUE",48,"resign","white","30+0","tb-123",1720,"oldpaths",1579,"French Defense: Chigorin Variation","French Defense",1649.5,"30","Classical"
"53","TRUE",47,"resign","black","15+5","oldpaths",1579,"iris_foxspring",2105,"Queen's Pawn Game: London System","Queen's Pawn Game",1842,"15","Classical"
"54","TRUE",64,"mate","black","15+5","zoro55",1768,"oldpaths",1560,"French Defense: La Bourdonnais Variation","French Defense",1664,"15","Classical"
"55","TRUE",61,"resign","white","15+5","oldpaths",1552,"geburah",1436,"Queen's Pawn Game: Mason Attack","Queen's Pawn Game",1494,"15","Classical"
"56","TRUE",57,"mate","white","15+5","oldpaths",1536,"urmil007",1667,"Queen's Pawn Game: London System","Queen's Pawn Game",1601.5,"15","Classical"
"57","TRUE",51,"resign","white","15+5","serai",1521,"oldpaths",1549,"English Opening: Anglo-Lithuanian Variation","English Opening",1535,"15","Classical"
"58","TRUE",71,"resign","white","15+5","oldpaths",1537,"antoniogallero",1408,"Queen's Pawn Game: Mason Attack","Queen's Pawn Game",1472.5,"15","Classical"
"59","TRUE",39,"resign","white","15+5","euler_jr",1602,"oldpaths",1532,"French Defense: Winawer Variation |  Advance Variation #2","French Defense",1567,"15","Classical"
"60","TRUE",20,"resign","black","15+5","oldpaths",1543,"euler_jr",1593,"Queen's Pawn Game: London System","Queen's Pawn Game",1568,"15","Classical"
"61","TRUE",48,"resign","black","30+0","oldpaths",1556,"krillnor",1539,"Queen's Pawn Game: Mason Attack","Queen's Pawn Game",1547.5,"30","Classical"
"62","TRUE",34,"mate","black","20+10","hoanghieudro2",1409,"oldpaths",1548,"French Defense: Knight Variation","French Defense",1478.5,"20","Classical"
"63","TRUE",51,"resign","white","20+10","oldpaths",1539,"hoanghieudro2",1418,"Queen's Pawn Game: London System","Queen's Pawn Game",1478.5,"20","Classical"
"64","TRUE",69,"resign","white","20+10","ehabhaddad",1603,"oldpaths",1550,"French Defense: Queen's Knight","French Defense",1576.5,"20","Classical"
"65","TRUE",28,"resign","white","20+10","oldpaths",1542,"gabrielsol",1399,"Queen's Pawn Game: Steinitz Countergambit","Queen's Pawn Game",1470.5,"20","Classical"
"66","TRUE",62,"resign","black","20+10","oldpaths",1546,"crushmik",1877,"Queen's Pawn Game: London System","Queen's Pawn Game",1711.5,"20","Classical"
"67","TRUE",38,"resign","white","20+10","oldpaths",1501,"ryan94",1445,"Queen's Pawn Game: London System","Queen's Pawn Game",1473,"20","Classical"
"68","FALSE",14,"resign","white","45+0","lotfibma",1500,"hollyandclaws",1500,"Italian Game: Giuoco Pianissimo |  Normal","Italian Game",1500,"45","Classical"
"69","TRUE",101,"resign","white","10+0","salah04",1942,"avelez8",1739,"French Defense: Marshall Variation","French Defense",1840.5,"10","Classical"
"70","TRUE",75,"outoftime","white","10+0","avelez8",1724,"vincenzo2000",1855,"Scotch Game","Scotch Game",1789.5,"10","Classical"
"71","TRUE",135,"mate","white","10+0","majid_alsalhi",1951,"avelez8",1729,"French Defense: Advance Variation |  Main Line","French Defense",1840,"10","Classical"
"72","TRUE",70,"mate","black","10+0","hopefullman15",1597,"avelez8",1728,"French Defense: Knight Variation","French Defense",1662.5,"10","Classical"
"73","TRUE",39,"resign","white","10+0","laeca53",1743,"avelez8",1738,"French Defense: Rubinstein Variation |  Fort Knox Variation","French Defense",1740.5,"10","Classical"
"74","TRUE",91,"resign","white","10+0","totoymate",1721,"avelez8",1750,"Queen's Gambit Declined: Traditional Variation","Queen's Gambit Declined",1735.5,"10","Classical"
"75","TRUE",46,"resign","black","10+0","jdalcheco",1744,"avelez8",1735,"French Defense: Advance Variation |  Paulsen Attack","French Defense",1739.5,"10","Classical"
"76","TRUE",18,"resign","black","10+0","avelez8",1749,"yolandoparada",1631,"Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5","Queen's Gambit Declined",1690,"10","Classical"
"77","TRUE",111,"mate","white","15+0","hafedfree",1729,"cdvh",1795,"Queen's Gambit Declined: Queen's Knight Variation","Queen's Gambit Declined",1762,"15","Classical"
"78","TRUE",54,"mate","black","10+0","decem",1795,"cdvh",1784,"Ruy Lopez: Classical Variation","Ruy Lopez",1789.5,"10","Classical"
"79","TRUE",33,"resign","white","10+0","cdvh",1770,"japcan",1872,"Queen's Pawn Game: Zukertort Variation","Queen's Pawn Game",1821,"10","Classical"
"80","TRUE",90,"resign","black","10+0","cdvh",1783,"raubstein",1721,"Queen's Pawn Game: London System","Queen's Pawn Game",1752,"10","Classical"
"81","TRUE",90,"resign","black","10+0","ashishbarda",1884,"cdvh",1768,"Ruy Lopez: Classical Variation |  Central Variation","Ruy Lopez",1826,"10","Classical"
"82","TRUE",40,"mate","black","10+0","omid163",1756,"cdvh",1756,"Bishop's Opening: Ponziani Gambit","Bishop's Opening",1756,"10","Classical"
"83","TRUE",59,"mate","white","10+0","cdvh",1706,"dashy1",925,"Queen's Pawn Game: London System","Queen's Pawn Game",1315.5,"10","Classical"
"84","TRUE",23,"mate","white","15+15","sassou",1215,"memoryberat",921,"Italian Game","Italian Game",1068,"15","Classical"
"85","TRUE",66,"mate","black","15+15","sassou",1210,"alpheus23",1280,"Sicilian Defense: Nimzowitsch Variation","Sicilian Defense",1245,"15","Classical"
"86","TRUE",120,"draw","draw","15+15","sureka_akshat",1139,"sassou",1212,"Four Knights Game: Italian Variation","Four Knights Game",1175.5,"15","Classical"
"87","TRUE",36,"mate","black","15+15","sassou",1220,"kapi77",1341,"Italian Game: Two Knights Defense |  Fried Liver Attack","Italian Game",1280.5,"15","Classical"
"88","TRUE",26,"mate","black","15+15","sassou",1234,"cohiba_313",1359,"Italian Game: Anti-Fried Liver Defense","Italian Game",1296.5,"15","Classical"
"89","TRUE",62,"resign","black","15+15","sassou",1275,"bagelsfu",1236,"Italian Game: Two Knights Defense |  Fried Liver Attack","Italian Game",1255.5,"15","Classical"
"90","FALSE",47,"resign","white","30+2","sassou",1276,"maougnassou",1308,"Italian Game: Anti-Fried Liver Defense","Italian Game",1292,"30","Classical"
"91","TRUE",24,"resign","black","15+15","sassou",1273,"popsun",1409,"Caro-Kann Defense: Exchange Variation","Caro-Kann Defense",1341,"15","Classical"
"92","TRUE",47,"mate","white","15+15","sassou",1263,"marktop1",1336,"Sicilian Defense: Modern Variations |  Main Line","Sicilian Defense",1299.5,"15","Classical"
"93","TRUE",85,"mate","white","15+15","rougethunder",1316,"sassou",1273,"English Opening: King's English Variation","English Opening",1294.5,"15","Classical"
"94","TRUE",95,"mate","white","15+15","sassou",1223,"agilm",1189,"Italian Game: Two Knights Defense |  Fried Liver Attack","Italian Game",1206,"15","Classical"
"95","TRUE",12,"draw","draw","15+15","sassou",1215,"lumipa",1219,"Italian Game","Italian Game",1217,"15","Classical"
"96","TRUE",30,"resign","white","15+15","fastandbulbous420",1227,"sassou",1227,"Four Knights Game: Italian Variation","Four Knights Game",1227,"15","Classical"
"97","TRUE",18,"resign","black","25+0","sassou",1228,"martin74",1626,"Queen's Gambit Declined","Queen's Gambit Declined",1427,"25","Classical"
"98","FALSE",77,"mate","white","10+2","gotochess",1191,"sassou",1228,"French Defense: Classical Variation |  Steinitz Variation","French Defense",1209.5,"10","Classical"
"99","TRUE",50,"resign","black","15+15","sassou",1228,"chessn00b47",1343,"Scandinavian Defense: Panov Transfer","Scandinavian Defense",1285.5,"15","Classical"
"100","TRUE",65,"outoftime","white","7+2","isachess",1852,"roshan_ie",1852,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack","Sicilian Defense",1852,"7","Blitz"
"101","TRUE",125,"resign","white","15+0","isachess",1851,"sergej1956",1918,"Sicilian Defense: Hyperaccelerated Dragon","Sicilian Defense",1884.5,"15","Classical"
"102","TRUE",76,"resign","black","15+0","isachess",1861,"pogrib",1844,"Italian Game: Anti-Fried Liver Defense","Italian Game",1852.5,"15","Classical"
"103","TRUE",65,"outoftime","white","10+0","isachess",1853,"tartetatin",1774,"Ruy Lopez: Berlin Defense #2","Ruy Lopez",1813.5,"10","Classical"
"104","TRUE",41,"mate","white","10+0","juncinmestrella",1910,"isachess",1862,"Sicilian Defense: Najdorf |  Lipnitsky Attack","Sicilian Defense",1886,"10","Classical"
"105","TRUE",59,"resign","white","10+0","isachess",1851,"robinhood76",1890,"French Defense: Knight Variation","French Defense",1870.5,"10","Classical"
"106","TRUE",70,"resign","black","15+5","tohaimr7",1860,"isachess",1840,"Sicilian Defense: Delayed Alapin","Sicilian Defense",1850,"15","Classical"
"107","TRUE",34,"resign","white","25+25","zpectral-chess",1828,"isachess",1848,"Sicilian Defense: Canal-Sokolsky Attack","Sicilian Defense",1838,"25","Classical"
"108","TRUE",63,"resign","white","10+10","isachess",1847,"jadesummer",1895,"Ruy Lopez: Morphy Defense |  Classical Defense Deferred","Ruy Lopez",1871,"10","Classical"
"109","TRUE",107,"resign","white","10+10","jadesummer",1885,"isachess",1856,"Sicilian Defense","Sicilian Defense",1870.5,"10","Classical"
"110","FALSE",34,"resign","black","20+5","isachess",1847,"homayoni",1856,"Caro-Kann Defense: Two Knights Attack |  Mindeno Variation","Caro-Kann Defense",1851.5,"20","Classical"
"111","TRUE",100,"outoftime","black","15+0","demetrio50",1840,"isachess",1837,"Sicilian Defense: Alapin Variation","Sicilian Defense",1838.5,"15","Classical"
"112","TRUE",80,"resign","black","5+5","isachess",1848,"maxpiz5",1806,"Sicilian Defense: French Variation","Sicilian Defense",1827,"5","Blitz"
"113","TRUE",44,"resign","black","15+0","isachess",1860,"philiveykk",1820,"French Defense: Knight Variation","French Defense",1840,"15","Classical"
"114","TRUE",105,"outoftime","white","10+0","fikr",1895,"isachess",1859,"Sicilian Defense","Sicilian Defense",1877,"10","Classical"
"115","TRUE",50,"resign","black","15+0","isachess",1866,"samdooley",1965,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation","Sicilian Defense",1915.5,"15","Classical"
"116","FALSE",144,"outoftime","draw","10+0","isachess",1866,"teguhmaster",1843,"Sicilian Defense","Sicilian Defense",1854.5,"10","Classical"
"117","FALSE",81,"resign","black","10+0","nf3isstrong",1835,"isachess",1866,"Caro-Kann Defense: Classical Variation |  Flohr Variation","Caro-Kann Defense",1850.5,"10","Classical"
"118","TRUE",69,"resign","black","15+0","isachess",1877,"dzigibau",1860,"Ruy Lopez: Bird Variation","Ruy Lopez",1868.5,"15","Classical"
"119","TRUE",77,"mate","white","7+8","edil1800",1849,"isachess",1874,"Sicilian Defense: Najdorf Variation |  Adams Attack","Sicilian Defense",1861.5,"7","Blitz"
"120","TRUE",107,"draw","draw","15+5","isachess",1866,"claudiucojo",1835,"Italian Game: Two Knights Defense |  Modern Bishop's Opening","Italian Game",1850.5,"15","Classical"
"121","TRUE",117,"mate","white","15+0","isachess",1856,"abikhoshnavaz",1829,"Ruy Lopez: Morphy Defense #2","Ruy Lopez",1842.5,"15","Classical"
"122","TRUE",44,"resign","white","10+0","isachess",1845,"sakkkakas",1846,"Ruy Lopez: Morphy Defense |  Classical Defense Deferred","Ruy Lopez",1845.5,"10","Classical"
"123","TRUE",40,"resign","black","15+0","seetripuu",1834,"isachess",1835,"Sicilian Defense: Old Sicilian","Sicilian Defense",1834.5,"15","Classical"
"124","TRUE",59,"resign","white","15+5","seif22",1846,"isachess",1845,"Caro-Kann Defense","Caro-Kann Defense",1845.5,"15","Classical"
"125","TRUE",30,"resign","black","15+0","isachess",1858,"tajbo4",1790,"Scandinavian Defense: Mieses-Kotroc Variation","Scandinavian Defense",1824,"15","Classical"
"126","TRUE",54,"resign","black","10+0","nespil",1871,"isachess",1847,"Sicilian Defense: Old Sicilian","Sicilian Defense",1859,"10","Classical"
"127","TRUE",178,"mate","black","16+0","sergeylobanov",1843,"isachess",1836,"Sicilian Defense: Alapin Variation","Sicilian Defense",1839.5,"16","Classical"
"128","TRUE",136,"resign","black","15+0","clown_with_a_knife",1800,"isachess",1826,"Sicilian Defense","Sicilian Defense",1813,"15","Classical"
"129","FALSE",124,"mate","black","8+0","taranga",1283,"whfo",1267,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack","Sicilian Defense",1275,"8","Blitz"
"130","TRUE",39,"mate","white","10+0","piroz_xucestih",1304,"taranga",1292,"Van't Kruijs Opening","Van't Kruijs Opening",1298,"10","Classical"
"131","TRUE",10,"mate","black","10+0","taranga",1305,"piroz_xucestih",1293,"French Defense: Normal Variation","French Defense",1299,"10","Classical"
"132","TRUE",18,"resign","black","15+0","cesar1945",1296,"taranga",1305,"Italian Game: Giuoco Piano |  Greco's Attack","Italian Game",1300.5,"15","Classical"
"133","FALSE",106,"mate","black","30+0","marmoraka5",968,"taranga",1305,"Four Knights Game: Italian Variation","Four Knights Game",1136.5,"30","Classical"
"134","TRUE",59,"mate","white","7+2","xapoh",1500,"taranga",1299,"Ruy Lopez: Exchange Variation","Ruy Lopez",1399.5,"7","Blitz"
"135","TRUE",111,"mate","white","7+2","taranga",1288,"jamila1234",1232,"Caro-Kann Defense","Caro-Kann Defense",1260,"7","Blitz"
"136","TRUE",28,"resign","black","7+2","taranga",1289,"hknight_chess",2108,"Ruy Lopez: Morphy Defense |  Tarrasch Variation","Ruy Lopez",1698.5,"7","Blitz"
"137","FALSE",15,"mate","white","7+2","striker123",1806,"taranga",1289,"Scotch Game","Scotch Game",1547.5,"7","Blitz"
"138","FALSE",60,"resign","black","7+2","taranga",1289,"armourbuddy",1810,"Sicilian Defense: Hyperaccelerated Fianchetto","Sicilian Defense",1549.5,"7","Blitz"
"139","FALSE",66,"resign","black","7+2","striker123",1806,"taranga",1289,"Scotch Game","Scotch Game",1547.5,"7","Blitz"
"140","TRUE",73,"mate","white","15+1","moon50",1409,"taranga",1297,"Ruy Lopez: Morphy Defense |  Caro Variation","Ruy Lopez",1353,"15","Classical"
"141","TRUE",159,"mate","white","15+1","taranga",1280,"moon50",1485,"Italian Game: Anti-Fried Liver Defense","Italian Game",1382.5,"15","Classical"
"142","FALSE",74,"resign","white","15+0","taranga",1280,"italiantranslator",1211,"Scandinavian Defense: Mieses-Kotroc Variation","Scandinavian Defense",1245.5,"15","Classical"
"143","TRUE",44,"mate","black","15+1","taranga",1274,"moon50",1534,"Sicilian Defense: Jalalabad Variation","Sicilian Defense",1404,"15","Classical"
"144","TRUE",150,"draw","draw","15+1","taranga",1259,"moon50",1663,"Italian Game: Anti-Fried Liver Defense","Italian Game",1461,"15","Classical"
"145","TRUE",60,"mate","black","10+0","trotil45",1614,"taranga",1238,"Queen's Pawn Game: London System","Queen's Pawn Game",1426,"10","Classical"
"146","TRUE",37,"mate","white","10+0","taranga",1221,"hsanderr",1417,"French Defense: Advance Variation |  Milner-Barry Gambit","French Defense",1319,"10","Classical"
"147","TRUE",88,"outoftime","black","10+0","taranga",1222,"madara21",1732,"Sicilian Defense: Open #3","Sicilian Defense",1477,"10","Classical"
"148","TRUE",113,"mate","white","10+0","hallowdance",1232,"taranga",1234,"Ruy Lopez: Exchange Variation","Ruy Lopez",1233,"10","Classical"
"149","TRUE",135,"mate","white","10+0","harrygz",1590,"dbschultz",1600,"English Opening: Carls-Bremen System","English Opening",1595,"10","Classical"
"150","TRUE",137,"draw","draw","10+0","rinoooo",1568,"dbschultz",1617,"Italian Game","Italian Game",1592.5,"10","Classical"
"151","TRUE",97,"outoftime","white","10+0","dbschultz",1500,"nienkotter",1358,"Four Knights Game","Four Knights Game",1429,"10","Classical"
"152","FALSE",29,"resign","black","30+0","thegrim123321",1384,"jdominguez",1265,"Zukertort Opening: Old Indian Attack","Zukertort Opening",1324.5,"30","Classical"
"153","FALSE",55,"resign","black","2+10","thegrim123321",1384,"sam7neeee",1950,"Zukertort Opening: Sicilian Invitation","Zukertort Opening",1667,"2","Bullet"
"154","TRUE",91,"resign","white","20+10","thegrim123321",1377,"batatinhaazul",1249,"Scandinavian Defense: Mieses-Kotroc Variation","Scandinavian Defense",1313,"20","Classical"
"155","TRUE",53,"resign","white","9+0","kingestee33",1375,"thegrim123321",1389,"King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit","King's Pawn Game",1382,"9","Blitz"
"156","TRUE",48,"mate","black","10+2","deragon63",1261,"thegrim123321",1371,"King's Pawn Game: Maroczy Defense","King's Pawn Game",1316,"10","Classical"
"157","TRUE",20,"resign","black","10+9","thegrim123321",1380,"brainiac007",1429,"Sicilian Defense: Old Sicilian","Sicilian Defense",1404.5,"10","Classical"
"158","TRUE",11,"resign","white","10+0","piechess97",1290,"thegrim123321",1371,"Ruy Lopez: Morphy Defense |  Mackenzie Variation","Ruy Lopez",1330.5,"10","Classical"
"159","TRUE",24,"resign","white","6+7","thekingdomcome",1361,"thegrim123321",1383,"Van't Kruijs Opening","Van't Kruijs Opening",1372,"6","Blitz"
"160","TRUE",23,"resign","white","15+15","rookreversal",1217,"thegrim123321",1399,"English Opening: King's English Variation |  Two Knights Variation","English Opening",1308,"15","Classical"
"161","TRUE",81,"mate","white","15+30","thegrim123321",1387,"ranie123",1447,"Ruy Lopez","Ruy Lopez",1417,"15","Classical"
"162","FALSE",34,"resign","black","20+0","arrigo",1474,"thegrim123321",1387,"Scandinavian Defense","Scandinavian Defense",1430.5,"20","Classical"
"163","TRUE",29,"resign","black","30+10","thegrim123321",1389,"dantesmontecristo",1339,"King's Pawn Game: McConnell Defense","King's Pawn Game",1364,"30","Classical"
"164","FALSE",38,"resign","white","10+0","morficle",1849,"thegrim123321",1389,"Scotch Game","Scotch Game",1619,"10","Classical"
"165","TRUE",46,"mate","black","8+0","annael88",1395,"thegrim123321",1378,"Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation","Italian Game",1386.5,"8","Blitz"
"166","TRUE",23,"outoftime","white","5+5","thegrim123321",1370,"ziogasparo14",1257,"Ruy Lopez: Bird Variation","Ruy Lopez",1313.5,"5","Blitz"
"167","FALSE",51,"resign","white","10+0","andre94",1311,"thegrim123321",1360,"King's Pawn Game: Beyer Gambit","King's Pawn Game",1335.5,"10","Classical"
"168","FALSE",87,"mate","white","20+0","lanas2007",1714,"thegrim123321",1360,"Ruy Lopez: Classical Variation","Ruy Lopez",1537,"20","Classical"
"169","TRUE",31,"mate","white","45+30","thegrim123321",1354,"onafets26",1217,"Italian Game","Italian Game",1285.5,"45","Classical"
"170","FALSE",43,"resign","white","10+4","thegrim123321",1346,"batuhh",1099,"Italian Game: Anti-Fried Liver Defense","Italian Game",1222.5,"10","Classical"
"171","FALSE",87,"outoftime","white","10+0","eideral",1580,"krishubhi",1555,"English Opening: Anglo-Scandinavian Defense","English Opening",1567.5,"10","Classical"
"172","FALSE",36,"mate","black","10+0","krishubhi",1555,"eideral",1580,"Sicilian Defense: Marshall Counterattack","Sicilian Defense",1567.5,"10","Classical"
"173","TRUE",38,"resign","black","6+6","myalcin64",1649,"eideral",1547,"French Defense: Advance Variation #4","French Defense",1598,"6","Blitz"
"174","TRUE",110,"resign","black","8+0","tutubelezza",1426,"eideral",1527,"French Defense: Knight Variation","French Defense",1476.5,"8","Blitz"
"175","TRUE",48,"resign","black","15+0","eideral",1557,"fva",1547,"Ruy Lopez: Morphy Defense |  Caro Variation","Ruy Lopez",1552,"15","Classical"
"176","FALSE",42,"resign","white","10+0","eideral",1557,"arebest95",1632,"Sicilian Defense: Open #3","Sicilian Defense",1594.5,"10","Classical"
